Serial Number:20644093 --

"Date Time, GMT -0400","Temp, (*F)","Water Detect","Button Down","Button Up","Host Connect","EOF"
2020-07-17 09:00:00,49.85, , , , , 
2020-07-17 10:00:00,50.06, , , , , 
2020-07-17 11:00:00,49.87, , , , , 
2020-07-17 12:00:00,49.78, , , , , 
2020-07-17 13:00:00,49.72, , , , , 
2020-07-17 14:00:00,49.81, , , , , 
2020-07-17 15:00:00,49.93, , , , , 
2020-07-17 16:00:00,49.97, , , , , 
2020-07-17 17:00:00,50.06, , , , , 
2020-07-17 18:00:00,50.08, , , , , 
2020-07-17 19:00:00,50.01, , , , , 
2020-07-17 20:00:00,50.03, , , , , 
2020-07-17 21:00:00,50.06, , , , , 
2020-07-17 22:00:00,50.28, , , , , 
2020-07-17 23:00:00,50.51, , , , , 
2020-07-18 00:00:00,50.82, , , , , 
2020-07-18 01:00:00,51.26, , , , , 
2020-07-18 02:00:00,51.69, , , , , 
2020-07-18 03:00:00,51.55, , , , , 
2020-07-18 04:00:00,51.82, , , , , 
2020-07-18 05:00:00,51.86, , , , , 
2020-07-18 06:00:00,52.15, , , , , 
2020-07-18 07:00:00,51.63, , , , , 
2020-07-18 08:00:00,51.38, , , , , 
2020-07-18 09:00:00,50.88, , , , , 
2020-07-18 10:00:00,50.59, , , , , 
2020-07-18 11:00:00,50.57, , , , , 
2020-07-18 12:00:00,50.61, , , , , 
2020-07-18 13:00:00,50.82, , , , , 
2020-07-18 14:00:00,51.09, , , , , 
2020-07-18 15:00:00,51.57, , , , , 
2020-07-18 16:00:00,51.05, , , , , 
2020-07-18 17:00:00,50.78, , , , , 
2020-07-18 18:00:00,50.76, , , , , 
2020-07-18 19:00:00,50.76, , , , , 
2020-07-18 20:00:00,50.82, , , , , 
2020-07-18 21:00:00,50.84, , , , , 
2020-07-18 22:00:00,50.76, , , , , 
2020-07-18 23:00:00,50.76, , , , , 
2020-07-19 00:00:00,50.80, , , , , 
2020-07-19 01:00:00,50.78, , , , , 
2020-07-19 02:00:00,50.84, , , , , 
2020-07-19 03:00:00,50.89, , , , , 
2020-07-19 04:00:00,50.86, , , , , 
2020-07-19 05:00:00,50.86, , , , , 
2020-07-19 06:00:00,50.82, , , , , 
2020-07-19 07:00:00,50.76, , , , , 
2020-07-19 08:00:00,50.74, , , , , 
2020-07-19 09:00:00,50.68, , , , , 
2020-07-19 10:00:00,50.64, , , , , 
2020-07-19 11:00:00,50.51, , , , , 
2020-07-19 12:00:00,50.51, , , , , 
2020-07-19 13:00:00,50.47, , , , , 
2020-07-19 14:00:00,50.61, , , , , 
2020-07-19 15:00:00,50.70, , , , , 
2020-07-19 16:00:00,50.68, , , , , 
2020-07-19 17:00:00,50.66, , , , , 
2020-07-19 18:00:00,50.61, , , , , 
2020-07-19 19:00:00,50.61, , , , , 
2020-07-19 20:00:00,50.64, , , , , 
2020-07-19 21:00:00,50.57, , , , , 
2020-07-19 22:00:00,50.47, , , , , 
2020-07-19 23:00:00,50.45, , , , , 
2020-07-20 00:00:00,50.51, , , , , 
2020-07-20 01:00:00,50.49, , , , , 
2020-07-20 02:00:00,50.64, , , , , 
2020-07-20 03:00:00,50.72, , , , , 
2020-07-20 04:00:00,50.84, , , , , 
2020-07-20 05:00:00,50.89, , , , , 
2020-07-20 06:00:00,50.88, , , , , 
2020-07-20 07:00:00,50.89, , , , , 
2020-07-20 08:00:00,50.88, , , , , 
2020-07-20 09:00:00,50.91, , , , , 
2020-07-20 10:00:00,50.89, , , , , 
2020-07-20 11:00:00,50.86, , , , , 
2020-07-20 12:00:00,50.86, , , , , 
2020-07-20 13:00:00,50.91, , , , , 
